Identifier
3438
84868
ENSG00000104970
PF15177
ENSG00000100393
ENSG00000102871
ENSG00000105329
ENSG00000107562
ENSG00000108691
ENSG00000109320
ENSG00000115415
ENSG00000126456
ENSG00000131323
ENSG00000136560
ENSG00000137275
ENSG00000162434
ENSG00000163735
ENSG00000163739
ENSG00000168040
ENSG00000169429
ENSG00000170581
ENSG00000175104
ENSG00000183735
ENSG00000185507
ENSG00000196664
ENSG00000271503
P01375
3433
ENSG00000082512
ENSG00000115129
ENSG00000138755
ENSG00000155506
ENSG00000156234
ENSG00000163734
ENSG00000169248
ENSG00000180871
4599
6372
8519
P0DTC3
3902
ENSG00000110713
ENSG00000081041
ENSG00000088888
ENSG00000101146
ENSG00000107201
ENSG00000117281
ENSG00000121060
ENSG00000127191
ENSG00000130234
ENSG00000142166
ENSG00000159110
ENSG00000163736
ENSG00000163737
ENSG00000166949
ENSG00000169245
ENSG00000171855
ENSG00000196591
ENSG00000275302
ENSG00000277632
2920
PF00143
ENSG00000189377
ENSG00000137203
ENSG00000108771
